output,id
CLBS,"55981966668504248, 55987297691011552"
CLT,"55962377553099336, 55984994657884208, 55992624053221536, 55996735894541752"
CNDG,NaN
CRBT_CNT,"52662864507470016, 55960389398022696, 55960967020270080, 55961122010673200, 55961974820184408, 55962928375407720, 55963306126103744, 55963428298642720, 55964113822114672, 55965654693485312, 55965971956468720, 55967506958669248, 55968203792006264, 55968236836533176, 55968258834416824, 55969009819343096, 55969760571018784, 55978921061790528, 55979921556915672, 55980536824138152, 55980949412323440, 55981842587058576, 55982971646875352, 55983359018199824, 55984275469664608, 55984897654330832, 55985207061014472, 55985738759018128, 55988250051617936, 55988662998935656, 55989312753308704, 55989393801209008, 55990152494354936, 55992080650117792, 55992258183975656, 55992276857648296, 55992494688037960, 55992662090961960, 55993416696286200, 55993836025398136, 55994795950477688, 55996391033882128, 55996426636548560, 55996897439126328, 55997206963164584"
CRBT_SRV,"55961842634048808, 55963133211368232, 55965399659240152, 55985040837653096, 55989344309430496, 55989438189145968, 55993822569483344, 55994649988122600, 55994800497919584, 55996307951345376, 55996358603991512, 55996424631482584, 55996654206260520, 55997158956414416, 55998217704151976, 55998257892146736"
DAST,NaN
DUPAK,"55989741616613760, 55993687301109888, 55996364031542176"
EVVI,"52669120544411360, 55960482637284776, 55960491722178552, 55960511854847280, 55960516357134040, 55960581897307488, 55960594232496224, 55960630173954536, 55960644714441960, 55960998634658736, 55961035045301408, 55961635657495616, 55961732644454368, 55961737887132168, 55962260431804488, 55962360136368104, 55962368673083896, 55962787491946272, 55962987996726880, 55962997903954960, 55963148324051520, 55963377985821784, 55963509097268320, 55963592527795440, 55963799607721352, 55963923786940672, 55964035547635192, 55964040445037040, 55964346111157600, 55964480356301688, 55964668602753728, 55964731964498400, 55964763063564032, 55965138119082592, 55965269228356872, 55965346523705000, 55965719582319184, 55966012029969872, 55966444969079728, 55967128368711896, 55967216366544656, 55967496302150440, 55967820248331368, 55967845933478056, 55968227835068384, 55968232687841224, 55968751607063608, 55968891962707456, 55968907931866880, 55969022414127312, 55969545793528432, 55969608362590504, 55969625505918736, 55969640718600664, 55969736332794032, 55969962039278296, 55970116928895336, 55970146322081504, 55970329491885136, 55970377040843144, 55978986108462008, 55978999762484680, 55979014555755864, 55979350772551920, 55979418391574696, 55979532304670976, 55979566258210128, 55979656461283656, 55979707969820744, 55979949185481704, 55979971612721504, 55980312017099160, 55980403377121048, 55980442757034792, 55980524556505144, 55980583982966856, 55980602619546760, 55980975671922792, 55981048487108584, 55981100777678552, 55981132049314168, 55981132645466920, 55981148563361320, 55981307372121832, 55981390584734800, 55981556932921328, 55981597335854200, 55981685055832944, 55981699923103320, 55981891359729248, 55981906682905576, 55982525654048904, 55982546243510416, 55982694620935856, 55982767776695416, 55982926612035448, 55983413469289176, 55983500758762112, 55983565558655152, 55983630521650472, 55983741683131472, 55983894515415456, 55983907116670728, 55984381513913760, 55984416964641184, 55984617448705880, 55984697779626960, 55984723145676936, 55984726814361592, 55984819191874504, 55985136802226712, 55985284727483008, 55985423928682440, 55985425350757944, 55985493364844832, 55985574910855648, 55985758425114088, 55985940505428392, 55986062280328040, 55986180838726040, 55986397790765000, 55986451179095992, 55986459621135640, 55986517116005552, 55986842840630544, 55986894590587600, 55987199167686136, 55987441030670968, 55987677834921776, 55987932837900024, 55988079648980848, 55988165150747112, 55988269300293528, 55988378813235240, 55988442558659888, 55988662228226240, 55989211416083672, 55989389271354752, 55989461499622992, 55989549508852784, 55989640493543944, 55989751884323360, 55990368251148616, 55990391905497072, 55990458551022728, 55990463041606512, 55990809932461648, 55990873792404768, 55990956859928720, 55991289685362072, 55991418151373680, 55991520284175312, 55991534343807960, 55991577746849728, 55991982767009184, 55992012001605728, 55992042186327520, 55992247718810448, 55992368990610408, 55992425358772936, 55992770186496296, 55992993921851904, 55993201845370688, 55993405227757632, 55993418112342656, 55993577923172368, 55993670835801080, 55993779686325776, 55994000172827544, 55994085332413352, 55994089795267008, 55994115972137320, 55994199890806536, 55994383626118424, 55994412625222440, 55994655978909992, 55994679213198696, 55994724067292768, 55994757219180096, 55994793804653720, 55994817844636568, 55994822904376976, 55995863597468560, 55995865886683192, 55995871837961008, 55995923124323536, 55996004885811832, 55996205558872008, 55996239871184952, 55996248139735656, 55996425600627576, 55996475735571848, 55996551047913008, 55996633219228960, 55996651689814536, 55996808811365856, 55996849650771712, 55996891146651376, 55997023262161000, 55997088266256784, 55997133757661640, 55997143882442608, 55997192750581680, 55997193987958824, 55997210842601712, 55997270069017224, 55997273681981144, 55997294186378896, 55997309288763680, 55997310696835592, 55997498847924720, 55997583634933936, 55997620617624616, 55997722793556024, 55997726429279696, 55997753754924488, 55997954600157760, 55997971171281504, 55998124255664424, 55998157688489960, 55998171408736064, 55998249272538096, 55998363299965216, 55998734213460920"
FLS,"55964153130311744, 55967023855429336, 55979569401998016, 55979594267568088, 55985263363896272, 55986157650813912, 55989337574945240, 55992099944154408, 55996197422826056, 55997198616023576"
FUCF,NaN
GAML,"55965289349938440, 55980474477257952, 55981617369154856, 55983856549251616, 55984099886034416, 55990139352750264, 55990905940619360, 55993689660308792, 55994206546229776, 55994225719586712, 55996946351414464"
GFCS,55989630583576408
GTNB,NaN
HOCO,"55981570803456920, 55997200128659888"
HSUB,"55979586837335592, 55998190982081216, 55998270738997072"
HWPFS,"55963941956786128, 55964145244539192, 55964709377185368, 55989917051514472, 55990186779385128, 55996806567917432"
IMSTK,"55965264357401024, 55989853770049728, 55998043466135056"
INDA,55979336598104792
JSCC,NaN
KITM,"55980544551591696, 55994219819602072"
KSPA,"55962447032456368, 55963058393487416, 55963138167266608, 55963344577218280, 55963358605729976, 55963452671958056, 55963736679096744, 55969578259224800, 55978898078370512, 55980766770056296, 55981409190766736, 55982581654388808, 55982663922488488, 55984383620505440, 55985886462591560, 55988093588164712, 55988265406456088, 55988453415013128, 55990544445939696, 55993175362432016, 55993636615084512, 55993889448986520, 55994317862895200, 55994610077329352, 55996139025838416, 55996639175394448, 55997299973272408, 55998005786609600, 55998011047319752, 55998206043150680, 55998328747425432"
LEARN,NaN
LGZM,NaN
LOT,NaN
MHUNG,"52663797155975624, 52668855147459344, 55962377639375552, 55962541071580072, 55962638548340432, 55962825512958912, 55963285087837560, 55963645758831352, 55964644549511912, 55965745975304144, 55968832234764296, 55969634997456304, 55969668771890824, 55969844783571952, 55970079849427496, 55970194972505808, 55978907890891576, 55979398508592272, 55979737180514480, 55981313227618016, 55982248488017856, 55983771433639016, 55984048977392128, 55984096098699512, 55984683900402872, 55985330716030168, 55986973091389448, 55989356667384824, 55989365493776024, 55989412715827424, 55990680142187592, 55991208911102144, 55992504197364992, 55993015183350936, 55993680636988856, 55994096339158368, 55994708638430832, 55995893149260280, 55995918142617472, 55996966541451744, 55996992014002072, 55997057833840432, 55997209111455080, 55997469711894488, 55997683888081856, 55997860583472736"
